Review_ID,Customer_Review,Rating
1,terrible customer support respond email,2
2,great product satisfied quality service,2
3,product okay shipping took long,1
4,poor packaging arrived damaged happy purchase,4
5,great product satisfied quality service,1
6,excellent customer service support team helpful,1
7,great product satisfied quality service,2
8,amazing experience everything went smoothly,4
9,loved would definitely recommend friend family,4
10,excellent customer service support team helpful,4
11,product meet expectation quality subpar,5
12,product okay shipping took long,2
13,product okay shipping took long,4
14,expected disappointing experience,1
15,great product satisfied quality service,5
16,excellent customer service support team helpful,5
17,amazing experience everything went smoothly,5
18,satisfied purchase good value money,2
19,great product satisfied quality service,4
20,poor packaging arrived damaged happy purchase,5
21,product meet expectation quality subpar,1
22,expected disappointing experience,2
23,great product satisfied quality service,1
24,satisfied purchase good value money,1
25,excellent customer service support team helpful,1
26,excellent customer service support team helpful,1
27,satisfied purchase good value money,3
28,expected disappointing experience,2
29,expected disappointing experience,5
30,amazing experience everything went smoothly,4
31,product okay shipping took long,4
32,loved would definitely recommend friend family,5
33,excellent customer service support team helpful,3
34,loved would definitely recommend friend family,5
35,terrible customer support respond email,2
36,great product satisfied quality service,2
37,poor packaging arrived damaged happy purchase,4
38,loved would definitely recommend friend family,2
39,poor packaging arrived damaged happy purchase,5
40,expected disappointing experience,2
41,product okay shipping took long,2
42,amazing experience everything went smoothly,2
43,poor packaging arrived damaged happy purchase,2
44,expected disappointing experience,1
45,satisfied purchase good value money,5
46,excellent customer service support team helpful,1
47,excellent customer service support team helpful,4
48,amazing experience everything went smoothly,4
49,poor packaging arrived damaged happy purchase,4
50,amazing experience everything went smoothly,4
51,terrible customer support respond email,1
52,product okay shipping took long,5
53,amazing experience everything went smoothly,3
54,loved would definitely recommend friend family,2
55,product meet expectation quality subpar,3
56,satisfied purchase good value money,1
57,loved would definitely recommend friend family,5
58,terrible customer support respond email,3
59,amazing experience everything went smoothly,5
60,satisfied purchase good value money,4
61,satisfied purchase good value money,2
62,poor packaging arrived damaged happy purchase,5
63,amazing experience everything went smoothly,4
64,terrible customer support respond email,4
65,product meet expectation quality subpar,4
66,loved would definitely recommend friend family,3
67,product meet expectation quality subpar,3
68,satisfied purchase good value money,4
69,great product satisfied quality service,2
70,amazing experience everything went smoothly,1
71,expected disappointing experience,5
72,satisfied purchase good value money,1
73,satisfied purchase good value money,1
74,loved would definitely recommend friend family,1
75,great product satisfied quality service,4
76,terrible customer support respond email,4
77,poor packaging arrived damaged happy purchase,3
78,loved would definitely recommend friend family,5
79,expected disappointing experience,1
80,amazing experience everything went smoothly,5
81,great product satisfied quality service,1
82,product okay shipping took long,3
83,poor packaging arrived damaged happy purchase,3
84,product meet expectation quality subpar,4
85,amazing experience everything went smoothly,4
86,amazing experience everything went smoothly,2
87,satisfied purchase good value money,5
88,poor packaging arrived damaged happy purchase,4
89,loved would definitely recommend friend family,5
90,poor packaging arrived damaged happy purchase,3
91,expected disappointing experience,2
92,poor packaging arrived damaged happy purchase,3
93,amazing experience everything went smoothly,5
94,product meet expectation quality subpar,4
95,product okay shipping took long,1
96,amazing experience everything went smoothly,3
97,product meet expectation quality subpar,4
98,product okay shipping took long,3
99,loved would definitely recommend friend family,4
100,loved would definitely recommend friend family,4
101,expected disappointing experience,5
102,amazing experience everything went smoothly,2
103,loved would definitely recommend friend family,5
104,poor packaging arrived damaged happy purchase,3
105,expected disappointing experience,1
106,terrible customer support respond email,1
107,product meet expectation quality subpar,1
108,terrible customer support respond email,1
109,expected disappointing experience,1
110,loved would definitely recommend friend family,4
111,expected disappointing experience,5
112,amazing experience everything went smoothly,5
113,product okay shipping took long,1
114,excellent customer service support team helpful,3
115,product okay shipping took long,3
116,great product satisfied quality service,2
117,expected disappointing experience,3
118,excellent customer service support team helpful,5
119,terrible customer support respond email,1
120,excellent customer service support team helpful,3
121,loved would definitely recommend friend family,5
122,product okay shipping took long,2
123,product meet expectation quality subpar,4
124,satisfied purchase good value money,4
125,product meet expectation quality subpar,4
126,product okay shipping took long,1
127,terrible customer support respond email,3
128,product okay shipping took long,5
129,product okay shipping took long,2
130,great product satisfied quality service,2
131,expected disappointing experience,2
132,loved would definitely recommend friend family,2
133,great product satisfied quality service,5
134,satisfied purchase good value money,5
135,excellent customer service support team helpful,4
136,terrible customer support respond email,3
137,amazing experience everything went smoothly,5
138,amazing experience everything went smoothly,2
139,amazing experience everything went smoothly,3
140,excellent customer service support team helpful,5
141,product meet expectation quality subpar,1
142,amazing experience everything went smoothly,5
143,product meet expectation quality subpar,4
144,poor packaging arrived damaged happy purchase,1
145,product meet expectation quality subpar,2
146,terrible customer support respond email,1
147,terrible customer support respond email,5
148,loved would definitely recommend friend family,3
149,great product satisfied quality service,2
150,great product satisfied quality service,4
151,terrible customer support respond email,3
152,poor packaging arrived damaged happy purchase,3
153,loved would definitely recommend friend family,3
154,product okay shipping took long,1
155,satisfied purchase good value money,3
156,poor packaging arrived damaged happy purchase,4
157,excellent customer service support team helpful,3
158,expected disappointing experience,1
159,great product satisfied quality service,2
160,product meet expectation quality subpar,4
161,satisfied purchase good value money,2
162,great product satisfied quality service,1
163,product meet expectation quality subpar,2
164,excellent customer service support team helpful,3
165,product okay shipping took long,4
166,loved would definitely recommend friend family,2
167,product meet expectation quality subpar,3
168,poor packaging arrived damaged happy purchase,5
169,great product satisfied quality service,5
170,loved would definitely recommend friend family,2
171,great product satisfied quality service,2
172,expected disappointing experience,2
173,satisfied purchase good value money,2
174,product okay shipping took long,2
175,expected disappointing experience,3
176,product okay shipping took long,4
177,excellent customer service support team helpful,4
178,excellent customer service support team helpful,4
179,satisfied purchase good value money,3
180,satisfied purchase good value money,1
181,product meet expectation quality subpar,3
182,product okay shipping took long,1
183,loved would definitely recommend friend family,3
184,loved would definitely recommend friend family,5
185,amazing experience everything went smoothly,5
186,product meet expectation quality subpar,2
187,poor packaging arrived damaged happy purchase,5
188,product okay shipping took long,4
189,terrible customer support respond email,5
190,satisfied purchase good value money,5
191,product okay shipping took long,1
192,poor packaging arrived damaged happy purchase,4
193,great product satisfied quality service,5
194,expected disappointing experience,5
195,loved would definitely recommend friend family,4
196,terrible customer support respond email,3
197,amazing experience everything went smoothly,4
198,product meet expectation quality subpar,2
199,terrible customer support respond email,2
200,terrible customer support respond email,5
201,product meet expectation quality subpar,3
202,product meet expectation quality subpar,1
203,poor packaging arrived damaged happy purchase,4
204,product meet expectation quality subpar,5
205,loved would definitely recommend friend family,1
206,terrible customer support respond email,5
207,product meet expectation quality subpar,5
208,great product satisfied quality service,1
209,excellent customer service support team helpful,5
210,excellent customer service support team helpful,4
211,great product satisfied quality service,3
212,product meet expectation quality subpar,4
213,satisfied purchase good value money,4
214,loved would definitely recommend friend family,2
215,product okay shipping took long,3
216,excellent customer service support team helpful,4
217,great product satisfied quality service,5
218,loved would definitely recommend friend family,2
219,great product satisfied quality service,5
220,product okay shipping took long,1
221,great product satisfied quality service,2
222,poor packaging arrived damaged happy purchase,2
223,terrible customer support respond email,2
224,great product satisfied quality service,4
225,amazing experience everything went smoothly,5
226,poor packaging arrived damaged happy purchase,3
227,satisfied purchase good value money,3
228,terrible customer support respond email,5
229,excellent customer service support team helpful,3
230,amazing experience everything went smoothly,2
231,product okay shipping took long,2
232,loved would definitely recommend friend family,5
233,excellent customer service support team helpful,1
234,product okay shipping took long,4
235,product meet expectation quality subpar,1
236,terrible customer support respond email,4
237,poor packaging arrived damaged happy purchase,4
238,excellent customer service support team helpful,2
239,terrible customer support respond email,1
240,loved would definitely recommend friend family,1
241,satisfied purchase good value money,2
242,loved would definitely recommend friend family,5
243,poor packaging arrived damaged happy purchase,5
244,product meet expectation quality subpar,4
245,product meet expectation quality subpar,5
246,product meet expectation quality subpar,3
247,great product satisfied quality service,4
248,great product satisfied quality service,1
249,terrible customer support respond email,1
250,expected disappointing experience,4
251,amazing experience everything went smoothly,2
252,terrible customer support respond email,1
253,excellent customer service support team helpful,5
254,loved would definitely recommend friend family,2
255,amazing experience everything went smoothly,4
256,amazing experience everything went smoothly,2
257,satisfied purchase good value money,5
258,satisfied purchase good value money,1
259,amazing experience everything went smoothly,1
260,poor packaging arrived damaged happy purchase,3
261,product meet expectation quality subpar,5
262,poor packaging arrived damaged happy purchase,3
263,product meet expectation quality subpar,1
264,poor packaging arrived damaged happy purchase,2
265,excellent customer service support team helpful,4
266,excellent customer service support team helpful,1
267,poor packaging arrived damaged happy purchase,5
268,product meet expectation quality subpar,5
269,expected disappointing experience,5
270,amazing experience everything went smoothly,4
271,product okay shipping took long,3
272,product okay shipping took long,5
273,product okay shipping took long,4
274,product meet expectation quality subpar,3
275,product meet expectation quality subpar,4
276,product okay shipping took long,4
277,terrible customer support respond email,3
278,amazing experience everything went smoothly,1
279,poor packaging arrived damaged happy purchase,1
280,expected disappointing experience,3
281,product okay shipping took long,2
282,product okay shipping took long,1
283,product meet expectation quality subpar,3
284,product meet expectation quality subpar,1
285,product okay shipping took long,3
286,satisfied purchase good value money,5
287,loved would definitely recommend friend family,2
288,excellent customer service support team helpful,4
289,amazing experience everything went smoothly,5
290,loved would definitely recommend friend family,3
291,product meet expectation quality subpar,4
292,loved would definitely recommend friend family,2
293,product meet expectation quality subpar,5
294,loved would definitely recommend friend family,2
295,terrible customer support respond email,1
296,satisfied purchase good value money,3
297,loved would definitely recommend friend family,3
298,excellent customer service support team helpful,5
299,satisfied purchase good value money,4
300,loved would definitely recommend friend family,1
301,product meet expectation quality subpar,5
302,amazing experience everything went smoothly,5
303,satisfied purchase good value money,4
304,loved would definitely recommend friend family,2
305,satisfied purchase good value money,2
306,poor packaging arrived damaged happy purchase,2
307,product meet expectation quality subpar,5
308,amazing experience everything went smoothly,4
309,expected disappointing experience,3
310,product okay shipping took long,2
311,poor packaging arrived damaged happy purchase,2
312,satisfied purchase good value money,5
313,expected disappointing experience,3
314,expected disappointing experience,4
315,poor packaging arrived damaged happy purchase,2
316,product meet expectation quality subpar,3
317,satisfied purchase good value money,1
318,product meet expectation quality subpar,3
319,poor packaging arrived damaged happy purchase,4
320,excellent customer service support team helpful,1
321,loved would definitely recommend friend family,3
322,great product satisfied quality service,5
323,product okay shipping took long,2
324,loved would definitely recommend friend family,4
325,product okay shipping took long,1
326,great product satisfied quality service,3
327,excellent customer service support team helpful,1
328,great product satisfied quality service,4
329,poor packaging arrived damaged happy purchase,5
330,excellent customer service support team helpful,5
331,terrible customer support respond email,5
332,satisfied purchase good value money,5
333,poor packaging arrived damaged happy purchase,5
334,expected disappointing experience,2
335,terrible customer support respond email,5
336,product okay shipping took long,4
337,excellent customer service support team helpful,3
338,terrible customer support respond email,3
339,loved would definitely recommend friend family,5
340,expected disappointing experience,1
341,amazing experience everything went smoothly,3
342,terrible customer support respond email,5
343,poor packaging arrived damaged happy purchase,2
344,amazing experience everything went smoothly,5
345,great product satisfied quality service,1
346,amazing experience everything went smoothly,4
347,terrible customer support respond email,1
348,product okay shipping took long,3
349,amazing experience everything went smoothly,1
350,terrible customer support respond email,4
351,terrible customer support respond email,1
352,loved would definitely recommend friend family,3
353,excellent customer service support team helpful,5
354,terrible customer support respond email,3
355,terrible customer support respond email,3
356,product okay shipping took long,3
357,expected disappointing experience,1
358,amazing experience everything went smoothly,4
359,poor packaging arrived damaged happy purchase,5
360,great product satisfied quality service,5
361,product meet expectation quality subpar,4
362,product meet expectation quality subpar,4
363,product meet expectation quality subpar,4
364,terrible customer support respond email,2
365,loved would definitely recommend friend family,4
366,amazing experience everything went smoothly,3
367,product okay shipping took long,2
368,satisfied purchase good value money,1
369,loved would definitely recommend friend family,4
370,product meet expectation quality subpar,1
371,product okay shipping took long,2
372,product meet expectation quality subpar,5
373,excellent customer service support team helpful,2
374,product meet expectation quality subpar,2
375,loved would definitely recommend friend family,4
376,excellent customer service support team helpful,3
377,terrible customer support respond email,2
378,loved would definitely recommend friend family,3
379,expected disappointing experience,1
380,great product satisfied quality service,2
381,product okay shipping took long,2
382,product okay shipping took long,1
383,great product satisfied quality service,2
384,amazing experience everything went smoothly,4
385,product meet expectation quality subpar,2
386,satisfied purchase good value money,1
387,excellent customer service support team helpful,1
388,poor packaging arrived damaged happy purchase,3
389,product meet expectation quality subpar,5
390,poor packaging arrived damaged happy purchase,2
391,expected disappointing experience,3
392,product meet expectation quality subpar,4
393,excellent customer service support team helpful,4
394,excellent customer service support team helpful,2
395,product okay shipping took long,1
396,amazing experience everything went smoothly,3
397,satisfied purchase good value money,2
398,terrible customer support respond email,4
399,terrible customer support respond email,2
400,expected disappointing experience,1
401,satisfied purchase good value money,1
402,loved would definitely recommend friend family,5
403,product meet expectation quality subpar,3
404,product okay shipping took long,3
405,terrible customer support respond email,4
406,terrible customer support respond email,2
407,expected disappointing experience,2
408,great product satisfied quality service,2
409,amazing experience everything went smoothly,4
410,expected disappointing experience,4
411,loved would definitely recommend friend family,2
412,poor packaging arrived damaged happy purchase,3
413,excellent customer service support team helpful,5
414,satisfied purchase good value money,1
415,poor packaging arrived damaged happy purchase,4
416,expected disappointing experience,1
417,product meet expectation quality subpar,3
418,excellent customer service support team helpful,2
419,loved would definitely recommend friend family,4
420,terrible customer support respond email,1
421,expected disappointing experience,1
422,excellent customer service support team helpful,3
423,product okay shipping took long,1
424,expected disappointing experience,2
425,terrible customer support respond email,4
426,loved would definitely recommend friend family,2
427,excellent customer service support team helpful,3
428,expected disappointing experience,1
429,amazing experience everything went smoothly,5
430,amazing experience everything went smoothly,1
431,satisfied purchase good value money,4
432,loved would definitely recommend friend family,1
433,product okay shipping took long,1
434,amazing experience everything went smoothly,3
435,product meet expectation quality subpar,1
436,product okay shipping took long,3
437,loved would definitely recommend friend family,2
438,poor packaging arrived damaged happy purchase,1
439,product okay shipping took long,3
440,satisfied purchase good value money,5
441,amazing experience everything went smoothly,5
442,satisfied purchase good value money,5
443,excellent customer service support team helpful,5
444,great product satisfied quality service,4
445,great product satisfied quality service,4
446,great product satisfied quality service,5
447,satisfied purchase good value money,5
448,amazing experience everything went smoothly,4
449,poor packaging arrived damaged happy purchase,2
450,excellent customer service support team helpful,3
451,great product satisfied quality service,5
452,great product satisfied quality service,2
453,loved would definitely recommend friend family,1
454,product okay shipping took long,2
455,product meet expectation quality subpar,2
456,great product satisfied quality service,1
457,poor packaging arrived damaged happy purchase,3
458,excellent customer service support team helpful,2
459,loved would definitely recommend friend family,2
460,loved would definitely recommend friend family,5
461,expected disappointing experience,4
462,product okay shipping took long,4
463,product okay shipping took long,3
464,satisfied purchase good value money,2
465,product okay shipping took long,2
466,amazing experience everything went smoothly,4
467,excellent customer service support team helpful,3
468,satisfied purchase good value money,3
469,product meet expectation quality subpar,3
470,excellent customer service support team helpful,3
471,expected disappointing experience,2
472,product meet expectation quality subpar,1
473,product meet expectation quality subpar,3
474,excellent customer service support team helpful,3
475,poor packaging arrived damaged happy purchase,1
476,product meet expectation quality subpar,1
477,terrible customer support respond email,3
478,loved would definitely recommend friend family,2
479,expected disappointing experience,3
480,excellent customer service support team helpful,2
481,amazing experience everything went smoothly,3
482,expected disappointing experience,5
483,poor packaging arrived damaged happy purchase,5
484,expected disappointing experience,3
485,poor packaging arrived damaged happy purchase,4
486,amazing experience everything went smoothly,5
487,poor packaging arrived damaged happy purchase,1
488,amazing experience everything went smoothly,2
489,loved would definitely recommend friend family,5
490,terrible customer support respond email,3
491,product okay shipping took long,1
492,terrible customer support respond email,4
493,excellent customer service support team helpful,5
494,amazing experience everything went smoothly,4
495,loved would definitely recommend friend family,5
496,great product satisfied quality service,4
497,product meet expectation quality subpar,1
498,satisfied purchase good value money,1
499,product okay shipping took long,5
500,poor packaging arrived damaged happy purchase,2
501,poor packaging arrived damaged happy purchase,1
502,amazing experience everything went smoothly,5
503,product okay shipping took long,1
504,terrible customer support respond email,5
505,loved would definitely recommend friend family,1
506,excellent customer service support team helpful,2
507,expected disappointing experience,3
508,expected disappointing experience,5
509,poor packaging arrived damaged happy purchase,1
510,expected disappointing experience,2
511,terrible customer support respond email,1
512,expected disappointing experience,1
513,amazing experience everything went smoothly,5
514,product okay shipping took long,2
515,terrible customer support respond email,1
516,product meet expectation quality subpar,4
517,expected disappointing experience,5
518,poor packaging arrived damaged happy purchase,5
519,satisfied purchase good value money,2
520,loved would definitely recommend friend family,1
521,satisfied purchase good value money,4
522,excellent customer service support team helpful,2
523,product okay shipping took long,3
524,amazing experience everything went smoothly,1
525,excellent customer service support team helpful,5
526,excellent customer service support team helpful,5
527,great product satisfied quality service,1
528,great product satisfied quality service,4
529,product meet expectation quality subpar,1
530,excellent customer service support team helpful,5
531,excellent customer service support team helpful,5
532,expected disappointing experience,3
533,expected disappointing experience,1
534,terrible customer support respond email,3
535,great product satisfied quality service,2
536,loved would definitely recommend friend family,4
537,satisfied purchase good value money,3
538,terrible customer support respond email,4
539,expected disappointing experience,2
540,loved would definitely recommend friend family,3
541,great product satisfied quality service,3
542,excellent customer service support team helpful,2
543,product okay shipping took long,2
544,product meet expectation quality subpar,2
545,product okay shipping took long,2
546,product okay shipping took long,3
547,great product satisfied quality service,3
548,satisfied purchase good value money,3
549,satisfied purchase good value money,4
550,product meet expectation quality subpar,2
551,great product satisfied quality service,5
552,amazing experience everything went smoothly,5
553,product okay shipping took long,5
554,amazing experience everything went smoothly,5
555,excellent customer service support team helpful,3
556,amazing experience everything went smoothly,3
557,amazing experience everything went smoothly,3
558,terrible customer support respond email,3
559,great product satisfied quality service,1
