Review_ID,Customer_Review,Rating
1,"Terrible customer support, they did not respond to my emails.",2
2,"Great product, very satisfied with the quality and service!",2
3,"Product is okay, but shipping took too long.",1
4,"Poor packaging, arrived damaged. Not happy with the purchase.",4
5,"Great product, very satisfied with the quality and service!",1
6,"Excellent customer service, the support team was very helpful!",1
7,"Great product, very satisfied with the quality and service!",2
8,"Amazing experience, everything went smoothly!",4
9,Loved it! Would definitely recommend to my friends and family.,4
10,"Excellent customer service, the support team was very helpful!",4
11,"The product did not meet my expectations, quality was subpar.",5
12,"Product is okay, but shipping took too long.",2
13,"Product is okay, but shipping took too long.",4
14,"Not what I expected, very disappointing experience.",1
15,"Great product, very satisfied with the quality and service!",5
16,"Excellent customer service, the support team was very helpful!",5
17,"Amazing experience, everything went smoothly!",5
18,"Satisfied with the purchase, good value for money.",2
19,"Great product, very satisfied with the quality and service!",4
20,"Poor packaging, arrived damaged. Not happy with the purchase.",5
21,"The product did not meet my expectations, quality was subpar.",1
22,"Not what I expected, very disappointing experience.",2
23,"Great product, very satisfied with the quality and service!",1
24,"Satisfied with the purchase, good value for money.",1
25,"Excellent customer service, the support team was very helpful!",1
26,"Excellent customer service, the support team was very helpful!",1
27,"Satisfied with the purchase, good value for money.",3
28,"Not what I expected, very disappointing experience.",2
29,"Not what I expected, very disappointing experience.",5
30,"Amazing experience, everything went smoothly!",4
31,"Product is okay, but shipping took too long.",4
32,Loved it! Would definitely recommend to my friends and family.,5
33,"Excellent customer service, the support team was very helpful!",3
34,Loved it! Would definitely recommend to my friends and family.,5
35,"Terrible customer support, they did not respond to my emails.",2
36,"Great product, very satisfied with the quality and service!",2
37,"Poor packaging, arrived damaged. Not happy with the purchase.",4
38,Loved it! Would definitely recommend to my friends and family.,2
39,"Poor packaging, arrived damaged. Not happy with the purchase.",5
40,"Not what I expected, very disappointing experience.",2
41,"Product is okay, but shipping took too long.",2
42,"Amazing experience, everything went smoothly!",2
43,"Poor packaging, arrived damaged. Not happy with the purchase.",2
44,"Not what I expected, very disappointing experience.",1
45,"Satisfied with the purchase, good value for money.",5
46,"Excellent customer service, the support team was very helpful!",1
47,"Excellent customer service, the support team was very helpful!",4
48,"Amazing experience, everything went smoothly!",4
49,"Poor packaging, arrived damaged. Not happy with the purchase.",4
50,"Amazing experience, everything went smoothly!",4
51,"Terrible customer support, they did not respond to my emails.",1
52,"Product is okay, but shipping took too long.",5
53,"Amazing experience, everything went smoothly!",3
54,Loved it! Would definitely recommend to my friends and family.,2
55,"The product did not meet my expectations, quality was subpar.",3
56,"Satisfied with the purchase, good value for money.",1
57,Loved it! Would definitely recommend to my friends and family.,5
58,"Terrible customer support, they did not respond to my emails.",3
59,"Amazing experience, everything went smoothly!",5
60,"Satisfied with the purchase, good value for money.",4
61,"Satisfied with the purchase, good value for money.",2
62,"Poor packaging, arrived damaged. Not happy with the purchase.",5
63,"Amazing experience, everything went smoothly!",4
64,"Terrible customer support, they did not respond to my emails.",4
65,"The product did not meet my expectations, quality was subpar.",4
66,Loved it! Would definitely recommend to my friends and family.,3
67,"The product did not meet my expectations, quality was subpar.",3
68,"Satisfied with the purchase, good value for money.",4
69,"Great product, very satisfied with the quality and service!",2
70,"Amazing experience, everything went smoothly!",1
71,"Not what I expected, very disappointing experience.",5
72,"Satisfied with the purchase, good value for money.",1
73,"Satisfied with the purchase, good value for money.",1
74,Loved it! Would definitely recommend to my friends and family.,1
75,"Great product, very satisfied with the quality and service!",4
76,"Terrible customer support, they did not respond to my emails.",4
77,"Poor packaging, arrived damaged. Not happy with the purchase.",3
78,Loved it! Would definitely recommend to my friends and family.,5
79,"Not what I expected, very disappointing experience.",1
80,"Amazing experience, everything went smoothly!",5
81,"Great product, very satisfied with the quality and service!",1
82,"Product is okay, but shipping took too long.",3
83,"Poor packaging, arrived damaged. Not happy with the purchase.",3
84,"The product did not meet my expectations, quality was subpar.",4
85,"Amazing experience, everything went smoothly!",4
86,"Amazing experience, everything went smoothly!",2
87,"Satisfied with the purchase, good value for money.",5
88,"Poor packaging, arrived damaged. Not happy with the purchase.",4
89,Loved it! Would definitely recommend to my friends and family.,5
90,"Poor packaging, arrived damaged. Not happy with the purchase.",3
91,"Not what I expected, very disappointing experience.",2
92,"Poor packaging, arrived damaged. Not happy with the purchase.",3
93,"Amazing experience, everything went smoothly!",5
94,"The product did not meet my expectations, quality was subpar.",4
95,"Product is okay, but shipping took too long.",1
96,"Amazing experience, everything went smoothly!",3
97,"The product did not meet my expectations, quality was subpar.",4
98,"Product is okay, but shipping took too long.",3
99,Loved it! Would definitely recommend to my friends and family.,4
100,Loved it! Would definitely recommend to my friends and family.,4
101,"Not what I expected, very disappointing experience.",5
102,"Amazing experience, everything went smoothly!",2
103,Loved it! Would definitely recommend to my friends and family.,5
104,"Poor packaging, arrived damaged. Not happy with the purchase.",3
105,"Not what I expected, very disappointing experience.",1
106,"Terrible customer support, they did not respond to my emails.",1
107,"The product did not meet my expectations, quality was subpar.",1
108,"Terrible customer support, they did not respond to my emails.",1
109,"Not what I expected, very disappointing experience.",1
110,Loved it! Would definitely recommend to my friends and family.,4
111,"Not what I expected, very disappointing experience.",5
112,"Amazing experience, everything went smoothly!",5
113,"Product is okay, but shipping took too long.",1
114,"Excellent customer service, the support team was very helpful!",3
115,"Product is okay, but shipping took too long.",3
116,"Great product, very satisfied with the quality and service!",2
