Review_ID,Customer_Review,Rating,Sentiment_Score
1,terrible customer support respond email,2,-1.0
2,great product satisfied quality service,2,0.65
3,product okay shipping took long,1,0.225
4,poor packaging arrived damaged happy purchase,4,0.2
5,great product satisfied quality service,1,0.65
6,excellent customer service support team helpful,1,1.0
7,great product satisfied quality service,2,0.65
8,amazing experience everything went smoothly,4,0.5
9,loved would definitely recommend friend family,4,0.35
10,excellent customer service support team helpful,4,1.0
11,product meet expectation quality subpar,5,0.0
12,product okay shipping took long,2,0.225
13,product okay shipping took long,4,0.225
14,expected disappointing experience,1,-0.35
15,great product satisfied quality service,5,0.65
16,excellent customer service support team helpful,5,1.0
17,amazing experience everything went smoothly,5,0.5
18,satisfied purchase good value money,2,0.6
19,great product satisfied quality service,4,0.65
20,poor packaging arrived damaged happy purchase,5,0.2
21,product meet expectation quality subpar,1,0.0
22,expected disappointing experience,2,-0.35
23,great product satisfied quality service,1,0.65
24,satisfied purchase good value money,1,0.6
25,excellent customer service support team helpful,1,1.0
26,excellent customer service support team helpful,1,1.0
27,satisfied purchase good value money,3,0.6
28,expected disappointing experience,2,-0.35
29,expected disappointing experience,5,-0.35
30,amazing experience everything went smoothly,4,0.5
31,product okay shipping took long,4,0.225
32,loved would definitely recommend friend family,5,0.35
33,excellent customer service support team helpful,3,1.0
34,loved would definitely recommend friend family,5,0.35
35,terrible customer support respond email,2,-1.0
36,great product satisfied quality service,2,0.65
37,poor packaging arrived damaged happy purchase,4,0.2
38,loved would definitely recommend friend family,2,0.35
39,poor packaging arrived damaged happy purchase,5,0.2
40,expected disappointing experience,2,-0.35
41,product okay shipping took long,2,0.225
42,amazing experience everything went smoothly,2,0.5
43,poor packaging arrived damaged happy purchase,2,0.2
44,expected disappointing experience,1,-0.35
45,satisfied purchase good value money,5,0.6
46,excellent customer service support team helpful,1,1.0
47,excellent customer service support team helpful,4,1.0
48,amazing experience everything went smoothly,4,0.5
49,poor packaging arrived damaged happy purchase,4,0.2
50,amazing experience everything went smoothly,4,0.5
51,terrible customer support respond email,1,-1.0
52,product okay shipping took long,5,0.225
53,amazing experience everything went smoothly,3,0.5
54,loved would definitely recommend friend family,2,0.35
55,product meet expectation quality subpar,3,0.0
56,satisfied purchase good value money,1,0.6
57,loved would definitely recommend friend family,5,0.35
58,terrible customer support respond email,3,-1.0
59,amazing experience everything went smoothly,5,0.5
60,satisfied purchase good value money,4,0.6
61,satisfied purchase good value money,2,0.6
62,poor packaging arrived damaged happy purchase,5,0.2
63,amazing experience everything went smoothly,4,0.5
64,terrible customer support respond email,4,-1.0
65,product meet expectation quality subpar,4,0.0
66,loved would definitely recommend friend family,3,0.35
67,product meet expectation quality subpar,3,0.0
68,satisfied purchase good value money,4,0.6
69,great product satisfied quality service,2,0.65
70,amazing experience everything went smoothly,1,0.5
71,expected disappointing experience,5,-0.35
72,satisfied purchase good value money,1,0.6
73,satisfied purchase good value money,1,0.6
74,loved would definitely recommend friend family,1,0.35
75,great product satisfied quality service,4,0.65
76,terrible customer support respond email,4,-1.0
77,poor packaging arrived damaged happy purchase,3,0.2
78,loved would definitely recommend friend family,5,0.35
79,expected disappointing experience,1,-0.35
80,amazing experience everything went smoothly,5,0.5
81,great product satisfied quality service,1,0.65
82,product okay shipping took long,3,0.225
83,poor packaging arrived damaged happy purchase,3,0.2
84,product meet expectation quality subpar,4,0.0
85,amazing experience everything went smoothly,4,0.5
86,amazing experience everything went smoothly,2,0.5
87,satisfied purchase good value money,5,0.6
88,poor packaging arrived damaged happy purchase,4,0.2
89,loved would definitely recommend friend family,5,0.35
90,poor packaging arrived damaged happy purchase,3,0.2
91,expected disappointing experience,2,-0.35
92,poor packaging arrived damaged happy purchase,3,0.2
93,amazing experience everything went smoothly,5,0.5
94,product meet expectation quality subpar,4,0.0
95,product okay shipping took long,1,0.225
96,amazing experience everything went smoothly,3,0.5
97,product meet expectation quality subpar,4,0.0
98,product okay shipping took long,3,0.225
99,loved would definitely recommend friend family,4,0.35
100,loved would definitely recommend friend family,4,0.35
101,expected disappointing experience,5,-0.35
102,amazing experience everything went smoothly,2,0.5
103,loved would definitely recommend friend family,5,0.35
104,poor packaging arrived damaged happy purchase,3,0.2
105,expected disappointing experience,1,-0.35
106,terrible customer support respond email,1,-1.0
107,product meet expectation quality subpar,1,0.0
108,terrible customer support respond email,1,-1.0
